"イキタイ","サ活","サウナ飯","ターゲット","市区町村","施設名","施設タイプ","住所","TEL","HP","定休日","営業時間","料金","URL","CREATE_AT"
"5230","3241","301","対象：男女","佐賀県 武雄市","御船山楽園ホテル「らかんの湯」","ホテル・旅館","佐賀県 武雄市 武雄町武雄4100","0954-23-3131","http://www.mifuneyama.co.jp/","-","「御船山楽園ホテル」「御宿 竹林亭」ご宿泊者の大浴場「らかんの湯」ご利用時間（15:00-24:00）（6:00-10:30）\n※ ご宿泊のお客様の大浴場（らかんの湯）利用は、午後と午前で男女入れ替え制となります。（15:00〜24:00と6:00〜10:30）\n\n\n「らかんの湯」日帰り入浴のご案内（予約制／定員制）\n\n入浴時間\n1部：15:00 - 17:30（男女各15名）\n2部：17:30 - 20:00（男女各15名）","御船山楽園ホテル大浴場「らかんの湯」の日帰り入浴は、予約制／定員制となっております。\nお電話（0954-23-3131）又は御船山楽園ホテルホームページからご予約ください。\n\n料金\n4,500円〜（税込）/１名\n料金に含まれるもの：らかんの湯入浴、チームラボのアート鑑賞（館内）、EN TEA House 応灯楼（ワンドリンク）、フェイスタオル\n\n※同性での４名以上のグループ利用は不可\n※中学生以下の入浴は不可\n※駐車場所は御船山楽園第２駐車場をご利用ください（駐車場無料）","https://sauna-ikitai.com/saunas/6060","2022/08/09 22:26:14"
"5208","18443","887","男性専用","東京都 墨田区","スパ&カプセル ニューウイング","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 墨田区 江東橋2-6-11","03-3846-1311","http://new-wing.com/","年中無休","24時間営業","大人 通常：5:00-24:00 2,600円\n大人 深夜：24:00-5:00 2,600円+深夜料金800円\n大人 延長：1時間 550円\n湯ったりコース 2時間利用 2000円（5:00-22:00受付の方のみ）\n超ゆったりコース 4時間利用 2300円（10:00-22:00受付の方のみ）","https://sauna-ikitai.com/saunas/1823","2022/08/09 22:26:17"
"4941","11230","639","男性専用","愛知県 名古屋市","ウェルビー栄","温浴施設（スーパー銭湯・サウナ・スパ施設）","愛知県 名古屋市 中区栄3-3-13-12","052-262-1126","http://www.wellbe.co.jp/sakae/","-","5時～26時（最終受付25時）\nカプセルホテルの場合14時チェックイン、翌日12時チェックアウト\n（その間のサウナの利用可）\nただし毎月第4月曜日10:00～13:00消毒作業のため休館(祝日等で変更の場合あり)","1時間：1100円\n2時間：1650円\n3時間：2200円\nフリー：3300円\n\n※5時～26時（最終受付25時）\n※サウナ・スパ健康アドバイザー会員証提示で、フリー3300円のみ300円割引","https://sauna-ikitai.com/saunas/2509","2022/08/09 22:26:20"
"4883","12680","720","対象：男女","東京都 文京区","東京ドーム天然温泉 Spa LaQua(スパ ラクーア)","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 文京区 春日1-1-1 ラクーアビル","03-3817-4173","http://www.laqua.jp/spa","年中無休","11:00～翌9:00\n※浴室利用 翌8:30(露天風呂翌7:30）まで\n※最終入館 翌8:00","大人通常料金　2,900円\nTDポイント会員　2,530円\n文京区民　2,530円\nヒーリング バーデ　+880円\n深夜割増料金(深夜1:00～早朝6:00)　+1,980円\n休日割増料金(土・日・祝・特定日)　+550円","https://sauna-ikitai.com/saunas/1757","2022/08/09 22:26:23"
"4614","12819","602","対象：男女","東京都 台東区","ひだまりの泉 萩の湯","銭湯（公衆浴場）","東京都 台東区 根岸2-13-13","03-3872-7669","http://haginoyu.jp/","第３火曜日","朝湯営業　6:00〜9:00\n通常営業　11:00～翌1:00\n※受付終了は各終了30分前","銭湯入浴料: 500円\nサウナ追加料: 250円(平日) 300円(土日祝)\nタオルセット: 70円(バスタオル＋小タオル＋ナイロンタオル)\n入浴料込サウナ回数券(10回分,土日祝も利用可): 6,200円 有効期限: 1年後の末日","https://sauna-ikitai.com/saunas/1698","2022/08/09 22:26:27"
"4566","9517","509","対象：男女","東京都 豊島区","タイムズ スパ・レスタ","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 豊島区 東池袋4-25-9 タイムズステーション池袋10〜12F(受付は11F)","03-5979-8924","http://www.timesspa-resta.jp/","不定休","※浴室・サウナは浴室最終利用時間内ならいつでも入れます\n※22/6/6～平日の女性深夜利用再開\n(月)～(土) 11:30～翌9:00 （最終入館 8:00／浴室最終利用 8:30迄）\n※ 女性浴室：深夜0:00～朝5:00利用不可\n(日) 11:30〜23:00 （最終入館 22:00／浴室最終利用 22:30迄）","※ タイムズクラブに入会すると、お得に利用可能。\n\n【 通常利用 】\nタイムズクラブ会員料金 2,350円（一般料金 2,850円）\n※ 土日祝・特定日は割増料金＋400円\n\n【 スピード利用（100分以内）】（平日）\nタイムズクラブ会員料金 1,800円（一般料金 2,100円）\n\n【 スピード利用（100分以内）】（土日祝日・特定日21時以降）\nタイムズクラブ会員料金 2,200円（一般料金 2,500円）","https://sauna-ikitai.com/saunas/1687","2022/08/09 22:26:30"
"4461","7313","428","対象：男女","東京都 新宿区","新宿天然温泉 テルマー湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 新宿区 歌舞伎町1-1-2","03-5285-1726","http://thermae-yu.jp/","年中無休\n※設備点検・整備などにより休館あり","24時間営業再開\nAM3:00-7:00は清掃のため入浴不可\n※からんころん・テルマー湯BARは休業、各種サウナイベントも中止とさせていただきます。","会員:2,185円\n一般:2,405円\n早朝深夜:＋1,100円\n休日:880円\n岩盤浴:825円","https://sauna-ikitai.com/saunas/1821","2022/08/09 22:26:33"
"4427","10766","1435","対象：男女","神奈川県 川崎市","朝日湯源泉ゆいる","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 川崎市 川崎区鋼管通3-1-2","044-333-4126","http://asahiyu1010.com/","無休（2022年6月1日より水曜営業開始）","平日：10:00～24:00（2022年7月25日より）\n土日祝：9:00～24:00\n最終入館　23:00\n浴室の利用　23:40迄","平日:大人(中学生以上)\n・5時間　2,310円＋入湯税150円\n・free　3,140円＋入湯税150円\n土日祝:大人(中学生以上)\n・5時間　2,640円＋入湯税150円\n・free　3,470円＋入湯税150円\n\n延長　1時間440円\n両コースタオルセット付き\nfreeコースのみ館内着付き、タオル交換無料\n\nクレジットカード:VISA、Master、JCB\nSuicaなどの交通系電子マネー使用可\nPayPay\nかながわPay利用可\n8末まで200円OFFクーポンあり","https://sauna-ikitai.com/saunas/10781","2022/08/09 22:26:37"
"4416","15556","967","男性専用","東京都 台東区","サウナセンター","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 台東区 下谷2-4-7","03-3876-0016","https://sauna-center.jp/","年中無休","24時間営業\n※10:00～11:00は清掃タイム","平日(3時間)　1500円\n入浴(8時間)　2000円　※アンバサダー入浴　1700円","https://sauna-ikitai.com/saunas/1706","2022/08/09 22:26:40"
"4314","12109","563","対象：男女","東京都 中野区","松本湯","銭湯（公衆浴場）","東京都 中野区 東中野5-29-12","03-3371-8392","http://www.matsumoto-yu.com/","木曜日(祝祭日は営業、翌日振替休日)","月曜日: 14:00〜24:00\n火曜日: 14:00〜24:00\n水曜日: 14:00〜24:00\n木曜日: 定休日\n金曜日: 14:00〜24:00\n土曜日: 14:00〜24:00\n日曜日: 8:00〜12:00、15:00〜24:00","入浴料500円＋サウナ料金500円(貸バスタオル付き)\nフェイスタオルは付きません\n別途レンタル50円","https://sauna-ikitai.com/saunas/4416","2022/08/09 22:26:43"
"4282","1916","70","対象：男女","神奈川県 中郡大磯町","大磯プリンスホテル THERMAL SPA S.WAVE","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 中郡大磯町 国府本郷546","0463-61-1111","https://www.princehotels.co.jp/oiso/spa/","-","6:00A.M.～12:00MID\n最終受付\n宿泊者11:30P.M.\n日帰りまたはプラン利用5:00P.M.","西武プリンスカードや降水確率70%での割引あり\n宿泊者は宿泊費に利用料が含まれるため無料","https://sauna-ikitai.com/saunas/2385","2022/08/09 22:26:48"
"3696","10042","1203","男性専用","兵庫県 神戸市","神戸サウナ&スパ","温浴施設（スーパー銭湯・サウナ・スパ施設）","兵庫県 神戸市 中央区下山手通2-2-10","078-322-1126","http://www.kobe-sauna.co.jp/","なし","24時間 (清掃タイム9:30～12:00)","【サウナ＆スパ 利用料（最大午前8：00～翌午前10：00）】2,900円（学生証提示で 2,200円）\n※滞在が深夜2時を越えると深夜料金として+1,000円\n\n【リフレッシュコース（8：00～翌5：00、１時間まで）】1,900円\n【モーニングコース（5：00～8：00、午前10：00チェックアウト）】2,300円\n【ナイト3hコース（23：00～翌5：00、3時間まで）】2,400円","https://sauna-ikitai.com/saunas/3140","2022/08/09 22:26:52"
"3614","10539","787","対象：男女","東京都 北区","カプセル&サウナロスコ","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 北区 中里2-4-8","03-3915-0005","https://www.rosco.tokyo/","年中無休","24時間営業\n（現在、女性は10時〜23時の営業です）","90分コース 1,200円\n4時間コース 1,500円(※女性限定)\n12時間コース 1,800円\n24時間コース 2,400円\n深夜料金(1時〜5時) 1,000円\n\nカプセルホテル宿泊者 3,300円\n※10時までカプセル利用可。15時チェックイン12時チェックアウト。","https://sauna-ikitai.com/saunas/1658","2022/08/09 22:26:55"
"3557","4527","366","対象：男女","東京都 練馬区","豊島園 庭の湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 練馬区 向山3-25-1","03 5984 4126","http://www.niwanoyu.jp/","なし","月曜日: 10時00分～23時00分\n火曜日: 10時00分～23時00分\n水曜日: 10時00分～23時00分\n木曜日: 10時00分～23時00分\n金曜日: 10時00分～23時00分\n土曜日: 10時00分～23時00分\n日曜日: 10時00分～23時00分","平日　 一般 2070円\n平日　 会員 1800円\n土日祝 一般 2350円\n土日祝 会員 2100円\nナイトスパ(18:00以降) 1500円\n※会員になるには入会金500円が必要","https://sauna-ikitai.com/saunas/1647","2022/08/09 22:26:58"
"3540","2290","155","対象：男女","北海道 空知郡上富良野町","吹上温泉保養センター 白銀荘","温浴施設（スーパー銭湯・サウナ・スパ施設）","北海道 空知郡上富良野町 吹上温泉","0167-45-3251","http://kamifurano-hokkaido.com/","年中無休\n10月下旬に点検・修理のため5日程休館します。","10:00～22:00(最終入館は21:00まで)","■入浴料\n大人 700円（2019.10.1〜値上げ 以下確認済）\n中・高校生 500円\n小学生 300円\n\n回数券（11枚綴り 5,000円　期限なし）\n水着利用料 300円（男女とも）\n\n☆半券を10枚集めると入浴１回無料☆\n\n■ 宿泊料\n大人 3,100円　和室一部屋9,300円\n中・高校生 2,100円\n小学生 1,500円\n※入湯税含","https://sauna-ikitai.com/saunas/98","2022/08/09 22:27:01"
"3473","3687","52","対象：男女","東京都 杉並区","ゆ家 和ごころ 吉の湯","銭湯（公衆浴場）","東京都 杉並区 成田東1-14-7","03-3315-1766","http://yoshinoyu.sakura.ne.jp/","月曜日","月曜日: 定休日\n火曜日: 13時30分～22時00分\n水曜日: 13時30分〜22時00分\n木曜日: 13時30分～22時00分\n金曜日: 13時30分～22時00分\n土曜日: 13時30分～22時00分\n日曜日: 13時30分～22時00分\n※土日は8時～11時に朝湯あり","大人（中学生以上）\n500円\n\n小学生\n180円\n\n幼児（0才～小学生未満）\n80円\n\nサウナ（入浴料込み）\n2時間 1000円\n\nサウナ（入浴料別）\n2時間 550円","https://sauna-ikitai.com/saunas/4342","2022/08/09 22:27:04"
"3462","6156","302","対象：男女","東京都 墨田区","両国湯屋江戸遊","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 墨田区 亀沢1-5-8","03-3621-2611","https://www.edoyu.com/ryougoku/","なし","月曜日: 10時00分～翌8時30分\n火曜日: 10時00分～翌8時30分\n水曜日: 10時00分～翌8時30分\n木曜日: 10時00分～翌8時30分\n金曜日: 10時00分～翌8時30分\n土曜日: 10時00分～翌8時30分\n日曜日: 10時00分～翌8時30分","一般入館料2,970円’タオルセット、館内着、岩盤浴衣付き）\nカード会員2,570円（入会金500円・年会費なし（1年更新）\n毎週火曜はカード会員デーで2,370円\n\n3時間コース2,400円（タオルセット、館内着、岩盤浴衣付き）\n60分コース1,500円（館内着・岩盤浴なし　タオルセットのみ）","https://sauna-ikitai.com/saunas/1808","2022/08/09 22:27:07"
"3400","5821","118","対象：男女","東京都 渋谷区","ドシー恵比寿","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 渋谷区 恵比寿1-8-1","03-3449-5255","https://do-c.jp/ebisu/","-","12:00~翌朝10:00（最終受付9:00）\n※女性のサウナ利用は月曜〜木曜14:00〜、金曜〜日曜12:00〜","サウナ：1h 1000円（それ以降は1時間500円が加算）（12時〜翌日10時まで）\n仮眠：1h 1500円（それ以降は1時間500円が加算）（14時〜21時まで）\n宿泊：4900円より（チェックイン時刻は14時から、チェックアウトは翌朝10時まで。）\n\nサウナ利用でバスタオルとフェイスタオルが1枚ずつ付いてきます。(サウナマットはなくなり、サウナ横にあるビート板をお使いください。)\n※替えタオル有料（フェイス50円、バスタオル100円）","https://sauna-ikitai.com/saunas/4459","2022/08/09 22:27:11"
"3380","2073","136","対象：男女","愛知県 名古屋市","SaunaLab Nagoya (サウナラボ名古屋)","温浴施設（スーパー銭湯・サウナ・スパ施設）","愛知県 名古屋市 中区栄3-9-22 グランドビル8F","記載なし","http://saunalab.jp/","デイリーオープン","月曜日: 12時00分～21時00分\n火曜日: 12時00分～21時00分\n水曜日: 12時00分～21時00分\n木曜日: 12時00分～21時00分\n金曜日: 12時00分～21時00分\n土曜日: 12時00分～21時00分\n日曜日: 12時00分～21時00分","ワークスタイル\n1h 1,100円\n2h 1,650円\n\nサウナスタイル\n3h 2,200円\nフリー　3,300円","https://sauna-ikitai.com/saunas/2507","2022/08/09 22:27:13"
"3369","7929","276","対象：男女","東京都 品川区","金春湯","銭湯（公衆浴場）","東京都 品川区 大崎3-18-8 コンパルビル1F","03-3492-4150","https://kom-pal.com/","火曜日","日曜日: 10時〜0時\n月曜日: 15時30分～0時\n火曜日: 定休日\n水曜日: 15時30分～0時\n木曜日: 15時30分～0時\n金曜日: 15時30分～0時\n土曜日: 15時30分〜0時","【入浴料】\n大人 500円\n中学生 300円\n小学生 200円\n未就学児 ※ 100円\n回数券（10回） 4500円\n※ 大人1人につき、未就学児1人無料\n\n【サウナ】\n1回 600円\n回数券（6回） 2700円\n\n【貸し出し】\nレンタルタオル : 小50円、大150円","https://sauna-ikitai.com/saunas/2027","2022/08/09 22:27:16"
"3154","6672","252","対象：男女","東京都 東久留米市","スパジアムジャポン","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 東久留米市 上の原2-7-7","042-473-2828","http://spajapo.com/","なし","月曜〜木曜 9:00-25:00\n金曜日 9:00-26:00\n土曜日 8:00-26:00\n日曜日 8:00-25:00\n祝前日(平日) 9:00-26:00\n祝前日(休日) 8:00-26:00","平日　　750円\n土日祝　850円\n\nレンタルタオルセット +300円\n岩盤浴　+650円 …館内着付(上階施設滞在者必須、館内着は+300円で使用済みと交換可能)","https://sauna-ikitai.com/saunas/5483","2022/08/09 22:27:19"
"3077","10664","899","男性専用","北海道 札幌市","ニコーリフレ SAPPORO","温浴施設（スーパー銭湯・サウナ・スパ施設）","北海道 札幌市 中央区南3条西2-14 ニコービル","011-261-0108","http://www.nikoh.info/","2ヶ月に1回の間隔で日中(10時～18時)に館内清掃日休業あり","24時間営業","【24時間コース(平日/土日祝)】\n･リフレ会員:2800円/3000円\n･法人会員:2300円/2500円\n･ビジター:3900円/4100円\n･お子様(小学生以下):1600円/1800円\n\n【会員限定5時間コース(平日/土日祝)】\n･リフレタイム:1700円/1900円\n5時～16時の入館時\n延長時+1100円\n･ナイトタイム:1900円/2100円\n16時～20時の入館時\n延長時+900円\n\n【深夜料金】\n0時～5時の入館時 0時以降の退館時+1000円","https://sauna-ikitai.com/saunas/166","2022/08/09 22:27:22"
"3061","9380","340","対象：男女","千葉県 浦安市","スパ&ホテル 舞浜ユーラシア","ホテル・旅館","千葉県 浦安市 千鳥13-20","047-351-4126","http://www.my-spa.jp/index.html","-","AM11:00～AM 9:00\n※最終受付 AM 8:00\n（AM 2:00～AM 5:00は入浴できません）","一般料金：大人2,100円（平日）2,610円（土日、祝日）\n\n会員料金（年会費500円）：大人1,300円（平日）、1,800円（土・日・祝日）\n\n朝風呂料金\n(AM5:00～AM9:00)\n大人1,050円\n\nセブンチケットの前売りチケット、大人1,450円（平日）1,950円（土日、祝日）\n\n毎週火曜（女性限定）1,050円\n\n毎週水曜（男性限定）1,050円\n\nJAFカード・Timesのカード、チーパス等は割引あり\n\nランステ利用は＋500円","https://sauna-ikitai.com/saunas/1995","2022/08/09 22:27:26"
"3015","11371","1013","対象：男女","神奈川県 横浜市","ファンタジーサウナ&スパおふろの国","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 横浜市 鶴見区下末吉2-25-23","045-585-4126","http://www.ofuronokuni.co.jp/","毎月第3月曜日（第3月曜日が祝日の場合営業）","月曜日: 11時00分～0時00分\n火曜日: 11時00分～0時00分\n水曜日: 11時00分～0時00分\n木曜日: 11時00分～0時00分\n金曜日: 11時00分～0時00分\n土曜日: 8時00分～0時00分\n日曜日: 8時00分～0時00分","平日\n大人（中学生以上）：850円\n子供：350円\n\n土日祝日\n大人：980円\n子供：400円\n\n平日回数券5枚綴 4000円\n土日朱特別日差額券 150円\n\nレンタルタオル：150円\nレンタルバスタオル：250円\nレンタルタオルセット：350円\n\n（2022/5/17料金改定）","https://sauna-ikitai.com/saunas/2146","2022/08/09 22:27:29"
"2983","16350","1250","対象：男女","神奈川県 横浜市","天然温泉 満天の湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 横浜市 保土ケ谷区上星川3-1-1","045-370-4126","https://mantennoyu.com/","第3火曜日","6:00〜翌1:00（最終受付0:30）","大人\n（平　日）一般880円・会員750円\n（土日祝）一般980円・会員850円\n小学生\n（全　日）一般・会員共350円\n未就学児\n（全　日）一般・会員共250円\n回数券（会員限定）\n11枚綴り　7500円　1年間有効\n\n駐車券無料","https://sauna-ikitai.com/saunas/2208","2022/08/09 22:27:32"
"2954","2882","135","対象：男女","山梨県 南都留郡山中湖村","ホテルマウント富士","ホテル・旅館","山梨県 南都留郡山中湖村 山中1360-83","0555-62-2111","https://www.mtfuji-hotel.com/","年中無休","■日帰り利用\n12:00～18:00\n（毎週水曜日は14：00～18：00）\n\n満天星の湯（サウナ有）\n14:00～18:00\n\nはなれの湯（サウナ無）\n12:00～16:00\n\n■宿泊者\n満天星の湯 6：00～11：00／ 14：00～24：00\nはなれの湯 6：00～10：00／ 12：00～22：00\n(水曜14：00〜)","●日帰り温泉入浴(タオル、バスタオル付)\n温泉入浴（大人）2,200円\n温泉入浴（小人）1,100円\n\n●選べる昼食+温泉入浴+個室休憩室\n5,800円\n\n※昼食時間は12：00～14：00。\n\n●おすすめ昼食付日帰り温泉プラン\n\n昼食+温泉入浴\n4,460円\n\n昼食+温泉入浴+個室休憩室\n7,460円\n\n※昼食時間は12：00～14：00。","https://sauna-ikitai.com/saunas/8094","2022/08/09 22:27:35"
